common,scientific,characteristic,notes,conservation,extant,hall
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE
Eastern cottontail,Sylvilagus floridanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
New England cottontail,Sylvilagus transitionalis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",VU,TRUE,MAMMALS OF NY STATE
European hare,Lepus europaeus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Snowshoe hare,Lepus americanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Beaver,Castor, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Meadow mouse,Microtus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Yellow-nosed vole,Microtus chrotorrhinus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Woodland mouse,Napaeozapus insignis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
House mouse,Mus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Deer mouse,Peromyscus keeni, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
White-footed mouse,Peromyscus leucopus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Southern bog lemming,Synaptomys cooperi, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Meadow jumping mouse,Zapus hudsonius, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Woodland jumping mouse,Napaeozapus insignis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Red-backed mouse,Myodes, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Eastern wood rat,Neotoma floridana, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Norway rat,Rattus norvegicus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Black rat,Rattus rattus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Muskrat,Ondatra, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Northern flying squirrel,Glaucomys sabrinus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Red squirrel,Sciurus vulgaris, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Chipmunk,Tamias, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Woodchuck,Marmota monax, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Gray squirrel,Sciurus carolinensis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Porcupine,Erethizon dorsatum, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Silver-haired bat,Lasionycteris noctivagans, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Hoary bat,Lasiurus cinereus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Red bat,Lasiurus borealis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Big brown bat,Eptesicus fuscus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Least brown bat,Myotis lucifugus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Social bat,Myotis sodalis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",NT,TRUE,MAMMALS OF NY STATE
Little brown bat,Myotis lucifugus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Star-nosed mole,Condylura cristata, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Hairy-tailed mole,Parascalops breweri, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Easter mole,Scalopus aquaticus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Northern water shrew,Sorex palustris, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Long-tailed shrew,Sorex dispar, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Masked shrew,Sorex cinereus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Smoky shrew,Sorex fumeus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Pygmy shrew,Sorex hoyi, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Small short-tailed shrew,Blarina brevicauda, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Short-tailed shrew,Blarina brevicauda, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS OF NY STATE
Common opossum,Didelphis marsupialis,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Thylacinus cynocephalus,Thylacinus cynocephalus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Tree hare,Dendrolagus lumholtzi,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Spotted hyena,Crocuta crocuta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Eurasian cave lion,Panthera leo spelaea, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Red Panda,Ailurus fulgens, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Cave bear,Ursus spelaeus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
European rabbit,Oryctolagus cuniculus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Archaeolemur majori,Archaeolemur majori, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Jamaican fruit bat,Artibeus jamaicensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Lyle's flying fox,Pteropus lylei, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Koala Lemur,Megaladapis edwardsi, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Giant Forest Hog,Hylochoerus meinertzhageni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Helmeted muskox,Bootherium bombifrons,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Muskox,Bos Gaurus Gaurus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Steppe bison,Bison priscus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Irish elk,Megaloceros giganteus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Long llama,Macrauchenia patachonica,HOOVES,NOTOUNGULATES & LITOPTERNS: 60mya (all are extinct),EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Narwhal,Monodon monoceros ,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Mastodon,Mammut americanum,EYES TO FRONT OF SKULL,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Woolly mammoth,Mammuthus primigenius,EYES TO FRONT OF SKULL,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Siamang,Symphalangus syndactylus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF HUMAN ORIGINS
Mammoth,Archidiskodon meridionalis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Saber-toothed cat,Smilodon, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EX,FALSE,MAMMALS AND THEIR EXTINCT RELATIVES
Short-necked giraffe,Giraffa camelopardalis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF HUMAN ORIGINS
Eurasian wolf,Canis etruscus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF HUMAN ORIGINS
Caucasian Lion,Panthera leo persica, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF HUMAN ORIGINS
Homo heidelbergensis,Homo heidelbergensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EX,FALSE,HALL OF HUMAN ORIGINS
Short-beaked common dolphin,Delphinus delphis,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",LC,TRUE,HALL OF OCEAN LIFE
Giant Anteater,Myrmecophaga tridactyla,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",VU,TRUE,HALL OF BIODIVERSITY
Tree Pangolin,Verreaux Sifaka, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF BIODIVERSITY
Demidoffos galago,Galagoides demidoff, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Thomson's gazelle,Eudorcas thomsonii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Grant's gazelle,Nanger granti,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Waller's gazelle,Litocranius walleri,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Kirk's dikdiks,Madoqua kirkii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Eld's deer,Rucervus eldii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS
Bushbaby/Galago,Otolemur crassicaudatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Marmoset/Tamarin,Callithrix jacchus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Woolly monkey,Lagothrix lagotricha, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES
Spider monkey,Ateles fusciceps, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES
Squirrel monkey,Saimiri, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Capuchins,Cebinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Howler monkey,Alouatta, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Colobus,Colobus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES
Langurs,Trachypithecus auratus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES
Barbary Macaque,Macaca sylvanus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES
Titi Monkey ,Callicebinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES