common,scientific,characteristic,notes,conservation,extant,hall,population
Platypus,Ornithorhynchus anatinus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Koala,Phascolarctos cinereus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES," Koalas were hunted by the Europeans during the 20th century for their fur.  The koala’s biggest threats are habitat destruction and fragmentation. In Queensland, there is a  40% decline of koala populations, and New South Wales, the  population declined by 33%.  In both areas, the koala populations were listed as vulnerable by the Australian government in 2012. "
Tamandua,Tamandua,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Civet,Civettictis civetta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Red fox,Vulpes vulpes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Walrus,Odobenus rosmarus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE,"During the 18th and 19th centuries, the walrus was hunted by American and European sealers and whalers.  This almost made the local population of walruses in the Atlantic go extinct.  Global climate change is the main threat to the walrus today.  The worldwide walrus population is about 250,000 walruses."
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Rat,Rattus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Squirrel,Sciuridae, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Mole,Talpa europaea,HOOVES,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Giant Eland,Taurotragus derbianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Opossum,Didelphimorphia,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",LC,TRUE,N AMERICAN MAMMALS,
Nine-banded armadillo,Dasypus novemcinctus,PLACENTA ,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Black Bear,Ursus americanus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Grizzly Bear,Ursus arctos, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Gray Fox,Urocyon cinereoargenteus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Canada Lynx,Lynx canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Jaguar,Panthera onca, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",NT,TRUE,N AMERICAN MAMMALS,
Ringtail (cacomistle),Bassariscus astutus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Spotted Skunk,Spilogale, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Striped Skunk,Mephitis mephitis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American mink,Neovison vison, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American Badger,Taxidea taxus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Wolverine, Gulo gulo, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Ermine,Mustela erminea, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American Marten,Martes americana, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
River Otter,Lontra canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Black-footed ferret,Mustela nigripes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,N AMERICAN MAMMALS,The black-footed ferret was harvested for their fur.  As prairie dog populations decreased due to control programs and prairie land becoming crop land.  There are about 300 black-footed ferrets in the wild and another 300 in captive breeding facilities in 2016.
Cougar (Mountain Lion),Puma concolor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Wolf,Canis lupus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Alaska Brown Bear,Ursus arctos horribilis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Coyote,Canis latrans, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
North American Beaver,Castor canadensis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Porcupine,Erethizon dorsatum, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE,
Western Grey Squirrel,Sciurus griseus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Snowshoe Hare,Lepus americanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Mountain Beaver,Aplodontia rufa, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Eastern Cottontail,Sylvilagus floridanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Black-tailed Jackrabbit,Lepus californicus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Antelope Jackrabbit,Lepus alleni, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Abert's Squirrel,Sciurus aberti, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Vole,Microtus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Northern Flying Squirrel,Glaucomys sabrinus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Groundhog,Marmota monax, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
American Bison,Bison bison,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,N AMERICAN MAMMALS,
Pronghorn,Antilocapra americana,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Dall Sheep,Ovis dalli,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Bighorn Sheep,Ovis canadensis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Caribou,Rangifer tarandus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,N AMERICAN MAMMALS,"The woodland caribou populations disappear from their original southern range because of human development in the caribou habitat.  Worldwide, there are approximately 5 million caribous."
Mountain Goat,Oreamnos americanus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Musk Ox,Ovibos moschatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Wapiti,Cervus canadensis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
White-tailed Deer,Odocoileus virginianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Mule Deer,Odocoileus hemionus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Collared Peccary,Pecari tajacu,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Moose,Alces alces,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Human,Homo sapiens, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Orangutan,Pongo pygmaeus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES,"The orangutan’s habitat disappeared quickly due to logging, forest fires, and roads.  They are also killed for the bushmeat trade, traditional medicine, or  crop protection leaving the Bornean orangutan population today at 104,700 and the Sumatran about 7,500."
Northern Elephant Seal,Mirounga angustirostris, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF OCEAN LIFE,
Harbor Seal,Phoca vitulina, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF OCEAN LIFE,
Polar Bear,Ursus maritimus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE,"Today, a polar bears largest threats are climate change, the loss of their sea habitat, over-harvesting, conflicts with humans, and industrial impacts. There are about 20,000 to 25,000 polar bears left today."
Northern Sea Lion,Eumetopias jubatus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",NT,TRUE,HALL OF OCEAN LIFE,
Sea Otter,Enhydra lutris, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF OCEAN LIFE,"The fur trade was the main cause for the decline in the sea otter’s population.  Today, oil pollution, poaching,  problems with fisheries, and predation by orcas continue to threaten the sea otters.  Today, there are about 106,000 sea otters worldwide."
Walrus,Odobenus rosmarus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE,"During the 18th and 19th centuries, the walrus was hunted by American and European sealers and whalers.  This almost made the local population of walruses in the Atlantic go extinct.  Global climate change is the main threat to the walrus today.  The worldwide walrus population is about 250,000 walruses."
Blue Whale,Balaenoptera musculus,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",EN,TRUE,HALL OF OCEAN LIFE,"Commercial whaling caused the population of blue whales to decline.  Ocean vessels strike blue whales, and blue whales are threatened today by ocean vessels.  Blue whales today are threatened by climate change causing permafrost and glaciers to melt.  This puts fresh water into the oceans, which threatens blue whales.  Today,the blue whale population is about 10,000-25,000 whales."
West Indian manatee,Trichechus manatus,EYES TO FRONT OF SKULL,"SIRENIANS, aka DUGONGS and MANATEES",VU,TRUE,HALL OF OCEAN LIFE,"Major threats of the manatee are collisions with boat hulls or boat propellors and habitat loss.  In Florida, there are about 4,834 Florida manatees."
Aardvark,Orycteropus afer,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Siberian (Amur) Tiger,Panthera tigris altaica, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF BIODIVERSITY,"Due to poaching, the Siberian tiger population declined. The threat of poaching, habitat loss, and illegal hunting of hoofed mammals, which are tiger’s  main prey threaten the tiger population.  The Siberian tiger population is estimated to be 3890 tigers today."
Giant Panda,Ailuropoda melanoleuca, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF BIODIVERSITY,"Pandas are threatened by habitat loss, low reproduction rates, and poaching.  There are 1,864 giant pandas in the wild."
African Giant Squirrel,Protoxerus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Giant Pouched Rat,Cricetomys, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Western Lowland Gorilla,Gorilla gorilla gorilla, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY,"Threats to the western lowland gorilla include habitat degradation and loss, infectious diseases, and poaching.  Today, western lowland gorilla’s population is about 100,000 individuals."
Elegant needle-clawed galago,Euoticus elegantulus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Potto,Perodicticus potto, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Aye-aye,Daubentonia madagascariensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY,"The aye-aye is considered endangered because the aye-aye is thought to be evil, deforestation in Madagascar, and the farmers will kill aye-ayes to protect their crops and for poaching.  Habitat loss is the main threat to aye-ayes.  Aye-ayes were thought to be extinct in 1933, but they were discovered again in 1957.  The population of aye-ayes is 1,000- 10,000."
Gray gibbon,Hylobates muelleri, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY,
Diademed Sifaka,Propithecus diadema, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY,"Habitat destruction and hunting caused this species’ population to decline.  Remaining populations are threatened by slash and burn agricultural practices, which cause continued rain forest habitat destruction and hunting.  In the next 45 years, the population is predicted to be reduced by 80%"
Black and white ruffed lemur,Varecia variegata, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY,
Singing fruit bat,Pteropus vampyrus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",NT,TRUE,HALL OF BIODIVERSITY,
Golden-Capped Fruit Bat,Acerodon jubatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY,"A golden-capped fruit bat’s threats are habitat loss, hunting, and disturbances in roost sites.  The total population is approximately 10,000 to 20,000 golden capped fruit bats."
Putty-nosed monkey,Cercopithecus nictitans, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Moustached monkey,Cercopithecus cephus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Giant Otter Shrew,Potamogale velox, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY,
Blue duiker,Philantomba monticola,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF BIODIVERSITY,
Dugong,Dugong dugon,EYES TO FRONT OF SKULL,"SIRENIANS, aka DUGONGS and MANATEES",VU,TRUE,HALL OF BIODIVERSITY,"Hunting decreased the population of dugongs.  Dugongs threats today are collisions with boats, capture in fishing nets and  entanglement, disease, hunting, and habitat degradation.  In the Indo-Pacific region, there are approximately 80,000 dugongs."
Leopard,Panthera pardus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS,"Leopard populations are declining due to habitat loss, fragmentation, illegal hunting and poaching. It’s estimated that roughly 250,000 leopards remain."
Spotted hyenas,Crocuta crocuta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF AFRICAN MAMMALS,
Hunting dog,Lycaon pictus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF AFRICAN MAMMALS,"The hunting dog is endangered due to habitat loss, threats by killings from humans, viral diseases, and competition from larger predators.  There are only 5,000 African hunting dogs left."
Black-backed jackals,Canis mesomelas, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF AFRICAN MAMMALS,
Cheetah,Acinonyx jubatus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF AFRICAN MAMMALS,"Habitat loss, decreased amounts of prey, trophy hunting, conflicts with humans, and cub mortality.  Today, there are only 7,100 cheetahs in the wild."
Lion,Panthera leo, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF AFRICAN MAMMALS,"The largest threats to the lion are hunting and poaching, habitat loss, loss of prey, retaliatory killings by livestock owner, disease, and climate change.  Today, there are less than 30,000 lions are in Africa."
Crested porcupine,Hystrix cristata,,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Chimpanzee,Pan, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"The major threats to the chimpanzee are industrialized logging, habitat loss, and being hunted for bushmeat.  The wild chimpanzee population is estimated to be 170,000 to 300,000 individuals."
Mandrill,Mandrillus sphinx, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF AFRICAN MAMMALS,"Habitat loss and degradation by humans, harvesting, and being killed as pests threaten mandrills.  About 3,000 mandrills exist in the wild today."
Gorilla,Gorilla gorilla gorilla, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF ASIAN MAMMALS,"Threats to the gorilla include habitat degradation and loss, infectious diseases, and poaching.  Today, the gorilla’s population is about 100,000 individuals."
