common,scientific,characteristic,notes,conservation,extant,hall,population
White-mantled colobus,Colobus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Hedgehog,Erinaceinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
White rhino,Ceratotherium simum,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Black rhino,Diceros bicornis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",CR,TRUE,HALL OF AFRICAN MAMMALS,"Black rhinos are hunted for their horn.  This continues to be a threat to black rhinos today as well as habitat loss and political conflict, which makes it easier for poachers to kill rhinos in certain areas.  Today, there are 2,500 black rhinos  left."
Grevy's zebra,Equus grevyi,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",EN,TRUE,HALL OF AFRICAN MAMMALS,"Due to habitat loss, competition with other grazers, drought, and poaching the Grevy’s zebra remains endangered.  About 2,350 Grevy’s zebras live in Kenya today."
Warthog ,Phacochoerus africanus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Bush pig,Potamochoerus larvatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Forest hog,Hylochoerus meinertzhageni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Giraffe,Giraffa,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,HALL OF AFRICAN MAMMALS,"Today, a giraffe is threatened by habitat loss and fragmentation, civil unrest, changes in the habitat, and illegal hunting.  In Africa, there are approximately, 80,000 giraffes."
Okapi,Okapia johnstoni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF AFRICAN MAMMALS,"Logging and human settlement, both causing habitat loss, deforestation, and poaching are threats to the Okapi today.  Approximately 15,000 okapis remain in the wild."
Blue wildebeest,Connochaetes taurinus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Hartebeest,Alcelaphus buselaphus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Greater koodoo,Tragelaphus strepsiceros,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Giant sable,Hippotragus niger variani,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS,"Habitat loss, armed conflict, and poaching are major threats to this species today.  In Angola, only 100 individuals continue to live in the wild."
Gemsbok,Oryx gazella,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Addax antelopes,Addax nasomaculatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS,"Over-hunting is the main threat to this species.  However, addax antelopes are also threatened by desertification, drought, and habitat encroachment.  In 2016, there were only 3 addax antelopes left in the wild in Angola."
Scimitar-horned oryx,Oryx dammah,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EW,TRUE,HALL OF AFRICAN MAMMALS,"Competition with domestic livestock, overhunting, major climate changes, and habitat loss led to this species to be extinct in the wild.  A second group of scimitar-horned oryx were released into the wild on January 21, 2017 making the population in the wild 35."
Addra gazelle,Nanger dama,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS,"The human threat, especially hunting with vehicles, habitat loss, and over-hunting are large threats to the Addra gazelle population.  In the world, there are an estimated 2,000 gazelles."
Beisa oryx,Oryx beisa,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Mountain nyala,Tragelaphus buxtoni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF AFRICAN MAMMALS,"Mountain nyalas have major threats, including encroachment by livestock, dogs killing calves, illegal hunting, and construction at high altitudes.  The total population consists of up to 4,000 individuals."
African Buffalo,Syncerus caffer,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Klipspringer,Oreotragus oreotragus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Mountain reedbucks,Redunca fulvorufula,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Sitatunga,Tragelaphus spekii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Waterbuck,Kobus ellipsiprymnus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Lechwe,Kobus leche,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Kob,Kobus kob,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Roan antelope,Hippotragus equinus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Bongo,Tragelaphus eurycerus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Lesser kudu,Tragelaphus imberbis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS,
Giant Eland,Taurotragus derbianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Impala,Aepyceros melampus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Black wildebeest,Connochaetes gnou,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Blesbok,Damaliscus pygargus phillipsi,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Springbok,Antidorcas marsupialis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS,
Hippopotamus,Hippopotamus amphibius,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",VU,TRUE,HALL OF AFRICAN MAMMALS,"In the Democratic Republic of Congo, the population declined by over 95%.  Hunting for meat and ivory from the canine teeth, and habitat loss are the largest threats facing the hippopotamus."
African Elephants,Loxodonta,HOOVES,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",VU,TRUE,HALL OF AFRICAN MAMMALS,
Hyrax,Hyracoidea,HOOVES,"SIRENIANS, aka DUGONGS and MANATEES",LC,TRUE,HALL OF ASIAN MAMMALS,
Tiger,Panthera tigris,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS,"Threats to the tiger come from habitat loss, conflict with humans, and poaching for illegal trade with tiger parts and products.  Approximately 3,890 tigers live in the wild."
Sloth bear,Melursus ursinus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS,"Retaliation from human and bear issues, and habitat loss or degradation are threats to the sloth bear.  There are about 10,000 to 20,000 sloth bears in total."
Indian lion,Panthera leo persica,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS,"The Indian lion population is only one subpopulation, so any unpredictable event, such as an epidemic is a threat to these lions.  Also, poaching and habitat fragmentation are threats.  There are 523 lions in the Indian lion’s population."
Wild Dog,Lycaon pictus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS,"The wild dog is endangered due to habitat loss, threats by killings from humans, viral diseases, and competition from larger predators.  There are only 5,000 African hunting dogs left."
Leopard,Panthera pardus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS,"Leopard populations are declining due to habitat loss, fragmentation, illegal hunting and poaching. It’s estimated that roughly 250,000 leopards remain."
Indian smooth otter,Lutrogale perspicillata,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS,"The Indian smooth otter is threatened by the loss of the wetland habitat, poaching, amount of  prey, and the contamination of waterways.  41 Indian smooth otters were found in North India. "
Hoolock gibbon,Hoolock, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"The biggest threats to hoolock gibbon are harvesting, invasive alien species, habitat degradation and loss, human disturbance, and hunting for the hoolock gibbon’s meat and use in medicine.  In the last 30- 40 years, the western hoolock population has dropped by 90% to 5,000."
Indian rhinoceros,Rhinoceros unicornis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",VU,TRUE,HALL OF ASIAN MAMMALS,"Poaching and habitat loss are the major threats to the Indian rhinoceros.  This species has 3,555 individuals in the wild. "
Sumatran rhinoceros,Dicerorhinus sumatrensis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",CR,TRUE,HALL OF ASIAN MAMMALS,"Poaching is the largest threat to the sumatran rhinoceros.  There are less than 100 sumatran rhinoceroses remaining in the wild.  In 2015, the sumatran rhinoceros was announced to be extinct in the wild of Malaysia."
Indian wild boar,Sus scrofa cristatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Water buffalo,Bubalus bubalis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"The water buffalo’s most dangerous threats include interbreeding with other buffalos, diseases, parasites, hunting, and habitat loss or degradation.  The total world population is less than 4,000 buffalos."
Gaur,Bos gaurus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,"The biggest threats facing the guar population is hunting, loss of suitable habitat, and habitat degradation and conversion.  Around the world, there is an estimated 15,000 to 35,000 individuals."
Banteng,Bos javanicus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"Bateng’s most important threats are interbreeding with other cattle, diseases from domestic livestock, hunting, and habitat degradation and loss.  From 1990’s to the present, Cambodia’s population decreased by over 50%."
Spotted chevrotain,Moschiola indica,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Swamp deer,Rucervus duvaucelii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,HALL OF ASIAN MAMMALS,"Massive threats facing this species are habitat degradation and loss as well as poaching for antlers and meat.  The population of the swamp deer is about 2,301."
Hog deer,Axis porcinus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"A swamp deer faces many threats such as flooding,  the invasive creeper Mikania sp. that puts this species’ grasslands in danger, and poaching.  In the region containing Cambodia, Lao PDR, Viet Nam, Thailand, China, and Bangladesh, the rate of population decline in the last 21 years was over 90%."
Four-horned antelope,Tetracerus quadricornis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,HALL OF ASIAN MAMMALS,Trophy hunting and habitat destruction puts the four-horned antelope in danger.  The population density of this animal is approximated at less than 0.5 animals per square kilometer.
Chital deer,Axis axis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Black Buck,Antilope cervicapra,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF ASIAN MAMMALS,
Chinkara,Gazella bennettii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Sambar,Rusa unicolor,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,HALL OF ASIAN MAMMALS,"The sambar population’s main threats include habitat encroachment and hunting for antlers and meat.  In 30 years from 1978 to 2008, there were large declines in the Sambar population, and populations probably decreased by more than 50% in China during the twentieth century."
Asian Elephants,Elephas maximus,EYES TO FRONT OF SKULL,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",EN,TRUE,HALL OF ASIAN MAMMALS,"Problems an asian elephant faces are the loss of genetic viability, or the low chance of avoiding the problems of inbreeding, illegal killings, habitat loss, fragmentation, and degradation.  It is estimated that the population of asian elephants is 40,000 to 50,000."
Siamang (gibbon),Symphalangus syndactylus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES,"Threats that face this species include habitat loss and degradation, hunting to sell young siamangs, and natural disasters.  In the past five decades, the population fell by 50%."
Orangutan,Pongo pygmaeus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES,"The orangutan’s habitat disappeared quickly due to logging, forest fires, and roads.  They are also killed for the bushmeat trade, traditional medicine, or  crop protection leaving the Bornean orangutan population today at 104,700 and the Sumatran about 7,500."
Javanese Tupaia,Tupaia javanica, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Aye Aye,Daubentonia madagascariensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES,"The aye-aye is considered endangered because the aye-aye is thought to be evil, deforestation in Madagascar, and the farmers will kill aye-ayes to protect their crops and for poaching.  Habitat loss is the main threat to aye-ayes.  Aye-ayes were thought to be extinct in 1933, but they were discovered again in 1957.  The population of aye-ayes is 1,000- 10,000."
Potto,Perodicticus potto, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Slow loris,Nycticebus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"Deforestation and the wildlife trade pose as the biggest threats to the slow loris.  The population is from 2,000 to 16,000 individuals."
Slender loris,Loris, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"Issues a slender loris faces are habitat destruction, becoming road kill, and hunting.  Only 100 animals were found to belong in one subspecies, the Horton Plains slender loris, of the slender loris."
Western tarsier,Cephalopachus bancanus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"The logging industry leads to habitat loss, and this is the major threat to the western tarsier.  The subspecies of the western tarsier, tarsius bancanus saltator, contains 29,440 in the population."
Bearded saki,Chiropotes, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES,"Black bearded sakis are most threatened by habitat loss, habitat fragmentation, and an increase in hunting.  More than 80% of the species was lost in the last 30 years."
Saki,Pithecia, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Owl monkey,Aotus trivirgatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Proboscis monkey,Nasalis larvatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF PRIMATES,"Proboscis monkeys are in danger because of habitat destruction and fragmentation as well as hunting.  In the East Malaysian state of Sabah, a minimum of 5,907 monkeys were in the population."
Patas monkey,Erythrocebus patas, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES,
Diana monkey,Cercopithecus diana, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF PRIMATES,"Deforestation caused habitat degradation and loss, which is the largest threat to the Diana monkey.  In Liberia, 50% of the population disappeared because of hunting this species for bushmeat."
Gelada baboon,Theropithecus gelada, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Anubis baboon,Papio anubis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Chacma baboon,Papio ursinus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF ASIAN MAMMALS,
Collared mangabey,Cercocebus torquatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF ASIAN MAMMALS,Major threats to this species include hunting for meat and habitat loss.  The population of collared mangabeys has declined by over 30% during the last 27 years. 
Hoolock gibbon,Hoolock, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF ASIAN MAMMALS,"The biggest threats to hoolock gibbon are harvesting, invasive alien species, habitat degradation and loss, human disturbance, and hunting for the hoolock gibbon’s meat and use in medicine.  In the last 30- 40 years, the western hoolock population has dropped by 90% to 5,000."
